Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2024,12/31/2024,MCDONALD'S F21687,Food & Drink,Sale,-8.65,
12/30/2024,12/31/2024,AMAZON MKTPL*ZP49P26I2,Shopping,Sale,-29.53,
12/30/2024,12/31/2024,TikTok Shop,Shopping,Sale,-29.61,
12/29/2024,12/30/2024,FOOD LION #1362,Groceries,Sale,-12.35,
12/30/2024,12/30/2024,SP UNDEROUTFIT INC,Shopping,Sale,-85.02,
12/29/2024,12/30/2024,SP VITTELO,Shopping,Sale,-59.95,
12/28/2024,12/29/2024,SONIC DRIVE IN #3771,Food & Drink,Sale,-23.00,
12/27/2024,12/29/2024,PAPA JOHN'S #0347,Food & Drink,Sale,-54.71,
12/28/2024,12/29/2024,SSP*Pickleville LLC,Entertainment,Sale,-6.59,
12/27/2024,12/29/2024,BP#1202000PLANTATION MAR,Gas,Sale,-14.64,
12/26/2024,12/27/2024,KROGER FUEL #9683,Gas,Sale,-27.00,
12/26/2024,12/27/2024,AMAZON MKTPL*ZE92G9KU2,Shopping,Sale,-71.33,
12/26/2024,12/27/2024,BP#1202000PLANTATION MAR,Gas,Sale,-15.42,
12/25/2024,12/26/2024,EL JIMADOR MEXICAN GRILL,Food & Drink,Sale,-21.26,
12/24/2024,12/26/2024,HARDEES 1501879,Food & Drink,Sale,-6.68,
12/26/2024,12/26/2024,TikTok Shop,Shopping,Sale,-43.89,
12/25/2024,12/26/2024,AMAZON MKTPLACE PMTS,Shopping,Return,29.49,
12/24/2024,12/25/2024,FOOD LION #1362,Groceries,Sale,-98.26,
12/24/2024,12/25/2024,TOKERS INC,Shopping,Sale,-76.83,
12/24/2024,12/25/2024,DOLLAR GENERAL #17460,Shopping,Sale,-111.07,
12/23/2024,12/24/2024,FOOD LION #1362,Groceries,Sale,-26.47,
12/21/2024,12/24/2024,ISTORAGE 8333,Home,Sale,-280.00,
12/23/2024,12/24/2024,WALMART.COM,Shopping,Sale,-40.86,
12/23/2024,12/24/2024,WALGREENS #15906,Health & Wellness,Sale,-65.91,
12/24/2024,12/24/2024,SP LAUREL DENISE,Shopping,Sale,-97.79,
12/23/2024,12/24/2024,WALMART.COM,Shopping,Sale,-1.79,
12/23/2024,12/24/2024,WALMART.COM,Shopping,Sale,-109.11,
12/23/2024,12/24/2024,WALMART.COM,Shopping,Sale,-6.97,
12/23/2024,12/24/2024,Audible*ZE4BT3GU2,Bills & Utilities,Sale,-16.37,
12/22/2024,12/23/2024,SP LAURENT PAPER CO.,Shopping,Sale,-45.15,
12/22/2024,12/23/2024,828 MEDIA LLC,Professional Services,Sale,-31.00,
12/22/2024,12/23/2024,SSP*Pickleville LLC,Entertainment,Sale,-42.80,
12/22/2024,12/23/2024,PAPA JOHN'S #0347,Food & Drink,Sale,-31.25,
12/22/2024,12/23/2024,AMAZON MKTPL*Z93DF9JD1,Shopping,Sale,-30.92,
12/23/2024,12/23/2024,PetSmart,Shopping,Sale,-75.06,
12/21/2024,12/22/2024,YOUNG LIVING,Shopping,Sale,-66.66,
12/21/2024,12/22/2024,EL JIMADOR MEXICAN GRILL,Food & Drink,Sale,-42.10,
12/21/2024,12/22/2024,CONFIDENTM* JX1DGB,Entertainment,Sale,-29.00,
12/20/2024,12/22/2024,FOOD LION #1362,Groceries,Sale,-24.34,
12/21/2024,12/22/2024,FOOD LION #1362,Groceries,Sale,-171.27,
12/20/2024,12/22/2024,CHICK-FIL-A #04182,Food & Drink,Sale,-17.96,
12/20/2024,12/22/2024,I3B*BLOUNT TN CLERK,Bills & Utilities,Sale,-33.74,
12/20/2024,12/22/2024,HERITAGE NUTRITION,Shopping,Sale,-10.24,
12/19/2024,12/22/2024,TST*CHAPULINE STREETACOS,Food & Drink,Sale,-18.23,
12/21/2024,12/22/2024,Rocky Top Waffles,Food & Drink,Sale,-42.50,
12/19/2024,12/22/2024,THE HOME DEPOT #0724,Home,Sale,-328.15,
12/19/2024,12/20/2024,FIELDHOUSE SOCIAL,Food & Drink,Sale,-48.42,
12/19/2024,12/20/2024,FOOD LION #1467,Groceries,Sale,-23.22,
12/17/2024,12/18/2024,OSAKA JAPANESE GRILL,Food & Drink,Sale,-40.14,
12/17/2024,12/18/2024,KROGER FUEL #9683,Gas,Sale,-28.00,
12/17/2024,12/18/2024,BP#1202000PLANTATION MAR,Gas,Sale,-56.00,
12/17/2024,12/18/2024,BP#1202000PLANTATION MAR,Gas,Sale,-13.88,
12/17/2024,12/18/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.95,
12/17/2024,12/18/2024,DOLLAR GENERAL #17460,Shopping,Sale,-37.48,
12/17/2024,12/17/2024,Payment Thank You-Mobile,,Payment,8000.00,
12/16/2024,12/17/2024,DAVIDS BRIDAL 69,Shopping,Sale,-127.77,
12/16/2024,12/17/2024,DAVIDS BRIDAL 69,Shopping,Sale,-163.82,
12/16/2024,12/17/2024,Rocky Top Waffles,Food & Drink,Sale,-42.30,
12/16/2024,12/17/2024,ASIAN CHAO,Food & Drink,Sale,-33.16,
12/16/2024,12/17/2024,PERFUME GALLERY,Shopping,Sale,-42.57,
12/16/2024,12/17/2024,CHIPOTLE 2165,Food & Drink,Sale,-18.68,
12/16/2024,12/17/2024,AMZN Mktp US*ZX8YA3R51,Shopping,Sale,-96.57,
12/14/2024,12/16/2024,GAS N GO # 651,Gas,Sale,-34.92,
12/15/2024,12/16/2024,Prime Video Channels,Shopping,Sale,-14.22,
12/15/2024,12/16/2024,ANCIENT NUTRITION,Groceries,Sale,-49.40,
12/15/2024,12/16/2024,AMAZON MKTPL*ZX74F22R1,Shopping,Sale,-76.81,
12/14/2024,12/15/2024,SSP*Pickleville LLC,Entertainment,Sale,-6.59,
12/13/2024,12/15/2024,HERITAGE NUTRITION,Shopping,Sale,-17.02,
12/14/2024,12/15/2024,MCDONALD'S F27126,Food & Drink,Sale,-15.55,
12/15/2024,12/15/2024,Subway 46622,Food & Drink,Sale,-8.67,
12/13/2024,12/15/2024,PAPA JOHN'S #0347,Food & Drink,Sale,-33.46,
12/13/2024,12/15/2024,EARTHBREEZE.COM,Personal,Sale,-12.00,
12/12/2024,12/13/2024,PURE NAIL BAR,Personal,Sale,-203.75,
12/12/2024,12/13/2024,PANERA BREAD #202613 O,Food & Drink,Sale,-30.69,
