Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/29/2025,06/30/2025,APPLE.COM/BILL,Shopping,Sale,-40.33,
06/29/2025,06/30/2025,WALMART.COM,Shopping,Sale,-160.97,
06/29/2025,06/30/2025,FOOD LION #1362,Groceries,Sale,-19.56,
06/29/2025,06/30/2025,PAPA JOHN'S #0347,Food & Drink,Sale,-60.63,
06/29/2025,06/30/2025,EL JIMADOR MEXICAN GRILL,Food & Drink,Sale,-144.56,
06/26/2025,06/29/2025,BURGER KING #9977,Food & Drink,Sale,-22.35,
06/28/2025,06/29/2025,VZWRLSS*APOCC VISE,Bills & Utilities,Sale,-599.28,
06/27/2025,06/29/2025,WASHINGTON-CLEANERS,Personal,Sale,-7.16,
06/26/2025,06/29/2025,CHICK-FIL-A #02847,Food & Drink,Sale,-27.32,
06/27/2025,06/27/2025,ILMAKIAGENYC*Replenish,Shopping,Sale,-39.51,
06/25/2025,06/26/2025,EL JIMADOR MEXICAN GRILL,Food & Drink,Sale,-36.61,
06/25/2025,06/26/2025,BP#1202000PLANTATION MAR,Gas,Sale,-43.82,
06/26/2025,06/26/2025,SP LIFEUNPLUGGED,Shopping,Sale,-26.94,
06/25/2025,06/26/2025,SQ *AMBURN?S MARKET,Groceries,Sale,-26.32,
06/24/2025,06/25/2025,SONIC DRIVE IN #3771,Food & Drink,Sale,-7.34,
06/23/2025,06/24/2025,BP#1202000PLANTATION MAR,Gas,Sale,-13.64,
06/23/2025,06/24/2025,HIBACHI FACTORY DTW,Food & Drink,Sale,-29.97,
06/21/2025,06/24/2025,ISTORAGE 8333,Home,Sale,-280.00,
06/23/2025,06/24/2025,PEACEFUL SIDE CRAFT KITC,Food & Drink,Sale,-10.46,
06/23/2025,06/24/2025,PEACEFUL SIDE CRAFT KITC,Food & Drink,Sale,-53.80,
06/22/2025,06/23/2025,ATMOS ENERGY,Bills & Utilities,Sale,-24.94,
06/22/2025,06/23/2025,SSP*Pickleville LLC,Entertainment,Sale,-42.80,
06/22/2025,06/23/2025,BP#1202000PLANTATION MAR,Gas,Sale,-8.87,
06/22/2025,06/23/2025,FOOD LION #1362,Groceries,Sale,-228.00,
06/22/2025,06/23/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
06/21/2025,06/22/2025,PAPA JOHN'S #0347,Food & Drink,Sale,-32.69,
06/20/2025,06/22/2025,Subway 6435,Food & Drink,Sale,-23.68,
06/21/2025,06/22/2025,WEIGELS #114,Gas,Sale,-91.71,
06/20/2025,06/22/2025,GROW,Personal,Sale,-171.00,
06/20/2025,06/22/2025,PetSmart,Shopping,Sale,-80.78,
06/20/2025,06/22/2025,TST* THE PAVILLION AT B&amp;B,Food & Drink,Sale,-2.79,
06/20/2025,06/22/2025,TST* THE PAVILLION AT B&amp;B,Food & Drink,Sale,-136.07,
06/20/2025,06/22/2025,BP#1202000PLANTATION MAR,Gas,Sale,-12.14,
06/20/2025,06/22/2025,UNION PLACE,Food & Drink,Sale,-64.19,
06/17/2025,06/19/2025,CRACKER BARREL #494 ALCOA,Food & Drink,Sale,-38.75,
06/17/2025,06/18/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.95,
06/15/2025,06/17/2025,ZAXBY'S #15001,Food & Drink,Sale,-26.32,
06/16/2025,06/17/2025,BP#1202000PLANTATION MAR,Gas,Sale,-16.62,
06/16/2025,06/17/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
06/16/2025,06/17/2025,SXM*SIRIUSXM.COM/ACCT,Bills & Utilities,Sale,-27.42,
06/15/2025,06/16/2025,Two Doors Down,Food & Drink,Sale,-26.46,
06/13/2025,06/16/2025,The Abbey at the Heartlan,Food & Drink,Sale,-111.29,
06/15/2025,06/16/2025,TST* BULLPEN - ALCOA,Food & Drink,Sale,-4.80,
06/15/2025,06/16/2025,JOTFORM INC,Shopping,Sale,-428.03,
06/15/2025,06/16/2025,Prime Video Channels,Shopping,Sale,-14.22,
06/14/2025,06/15/2025,BP#1202000PLANTATION MAR,Gas,Sale,-9.31,
06/14/2025,06/15/2025,FOOD LION #1362,Groceries,Sale,-49.01,
06/13/2025,06/15/2025,PANDA EXPRESS 2908,Food & Drink,Sale,-14.49,
06/13/2025,06/15/2025,HOBBY LOBBY #282,Shopping,Sale,-106.68,
06/14/2025,06/15/2025,SQ *AMBURN?S MARKET,Groceries,Sale,-29.85,
06/12/2025,06/15/2025,CHICK-FIL-A #02847,Food & Drink,Sale,-22.62,
06/12/2025,06/13/2025,WALMART.COM,Shopping,Sale,-141.04,
06/13/2025,06/13/2025,EARTHBREEZE.COM,Personal,Sale,-12.00,
06/13/2025,06/13/2025,LEARNDOBECOME.COM,Professional Services,Sale,-25.00,
06/11/2025,06/13/2025,CHICK-FIL-A #02847,Food & Drink,Sale,-27.32,
06/12/2025,06/13/2025,BP#1202000PLANTATION MAR,Gas,Sale,-85.45,
06/11/2025,06/12/2025,Amazon Digit*NA9VX6XO2,Shopping,Sale,-13.14,
06/11/2025,06/12/2025,SP DOG IS HUMAN,Shopping,Sale,-85.82,
06/10/2025,06/11/2025,ATT*BILL PAYMENT,Bills & Utilities,Sale,-128.35,
06/09/2025,06/11/2025,AMAZON MKTPL*NA8CX14Y2,Shopping,Sale,-33.35,
06/10/2025,06/11/2025,BP#1202000PLANTATION MAR,Gas,Sale,-21.50,
06/10/2025,06/11/2025,VIOC 040102,Automotive,Sale,-66.94,
06/10/2025,06/11/2025,Amazon.com*NH4PP05U0,Shopping,Sale,-71.33,
06/08/2025,06/10/2025,FOOD LION #1362,Groceries,Sale,-181.65,
06/09/2025,06/10/2025,Prime Video Channels,Shopping,Sale,-10.94,
06/09/2025,06/10/2025,BP#1202000PLANTATION MAR,Gas,Sale,-5.58,
06/08/2025,06/10/2025,HARDEES 1501879,Food & Drink,Sale,-16.32,
06/09/2025,06/10/2025,EL JIMADOR MEXICAN GRILL,Food & Drink,Sale,-42.19,
06/07/2025,06/09/2025,AUNTIE ANNES-O'HARE,Food & Drink,Sale,-24.54,
06/06/2025,06/08/2025,SAIDA &amp; SAIMA JAMAN ENTE,Shopping,Sale,-40.24,
06/07/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-5.73,
06/07/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-185.76,
06/06/2025,06/08/2025,ALGANI,Shopping,Sale,-114.86,
06/06/2025,06/08/2025,ALGANI,Shopping,Sale,-2.30,
06/06/2025,06/08/2025,MILANO FARINELLA,Food & Drink,Sale,-66.80,
06/06/2025,06/08/2025,SP ALOHA,Groceries,Sale,-74.23,
06/06/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-29.28,
06/06/2025,06/08/2025,TO MARKET SRL VIA PIRELL,Groceries,Sale,-2.93,
06/06/2025,06/08/2025,PIANETA LUNA,Food & Drink,Sale,-74.73,
06/06/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-31.71,
06/07/2025,06/08/2025,Spontini Imb B Malpensa,Food & Drink,Sale,-44.47,
06/06/2025,06/08/2025,NON SOLO GIORNALI SRL,Shopping,Sale,-4.60,
06/07/2025,06/08/2025,MXP T1 Last Minute B Duty,Shopping,Sale,-14.90,
06/06/2025,06/08/2025,FARMACIA CENTRO MILANO,Health & Wellness,Sale,-22.88,
06/06/2025,06/08/2025,SOUVENIRS CASTELLO,Personal,Sale,-42.41,
06/06/2025,06/08/2025,VENCHI Milano Dante,Food & Drink,Sale,-19.09,
06/06/2025,06/06/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-620.43,
06/05/2025,06/06/2025,Hotel ABC,Travel,Sale,-12.73,
