Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/28/2024,06/30/2024,WALMART.COM,Shopping,Sale,-102.77,
06/29/2024,06/30/2024,SQ *SOUTHERN TWIST NUTRIT,Food & Drink,Sale,-15.00,
06/29/2024,06/30/2024,FOOD LION #1362,Groceries,Sale,-91.00,
06/30/2024,06/30/2024,V SHRED LLC,Groceries,Sale,-47.00,
06/27/2024,06/30/2024,LOOPE POOL AND SPA  LLC,Home,Sale,-66.94,
06/29/2024,06/30/2024,FOOTHILLS PLAZA WINES &amp;,Food & Drink,Sale,-53.93,
06/27/2024,06/28/2024,MCDONALD'S F21687,Food & Drink,Sale,-10.73,
06/26/2024,06/28/2024,CHICK-FIL-A #02847,Food & Drink,Sale,-28.47,
06/27/2024,06/28/2024,Amazon.com*RC3BB1371,Shopping,Sale,-35.70,
06/26/2024,06/27/2024,SQ *DARLIN DOGGIE DO'S,Professional Services,Sale,-228.00,
06/26/2024,06/27/2024,FOOD LION #1467,Groceries,Sale,-75.00,
06/24/2024,06/26/2024,DETROIT AIPORT,Food & Drink,Sale,-18.32,
06/25/2024,06/26/2024,EMMASSOUTHERNKITCHEN,Food & Drink,Sale,-36.47,
06/25/2024,06/26/2024,NAKED           2961842,Food & Drink,Sale,-6.66,
06/25/2024,06/26/2024,Rocky Top Waffles,Food & Drink,Sale,-25.75,
06/24/2024,06/25/2024,EXXON EZ STOP #12,Gas,Sale,-54.91,
06/21/2024,06/24/2024,ISTORAGE 8333,Home,Sale,-292.00,
06/23/2024,06/24/2024,FOOD LION #1362,Groceries,Sale,-22.15,
06/23/2024,06/24/2024,FOOD LION #1362,Groceries,Sale,-23.75,
06/23/2024,06/24/2024,BP#1202000PLANTATION MAR,Gas,Sale,-34.28,
06/21/2024,06/23/2024,SHELL OIL 57545867707,Gas,Sale,-35.00,
06/22/2024,06/23/2024,GLF*CROCKETTRIDGE,Entertainment,Sale,-134.22,
06/21/2024,06/23/2024,FOOD LION #1362,Groceries,Sale,-88.00,
06/22/2024,06/23/2024,DOLLAR GENERAL #15888,Shopping,Sale,-37.15,
06/19/2024,06/21/2024,DELTA AIR   0062244476383,Travel,Sale,-2341.90,
06/20/2024,06/21/2024,SP BODYHEALTH.COM LL,Groceries,Sale,-41.93,
06/19/2024,06/21/2024,LOOPE POOL AND SPA  LLC,Home,Sale,-16.46,
06/20/2024,06/21/2024,FOOD LION #1362,Groceries,Sale,-36.73,
06/19/2024,06/20/2024,EL JIMADOR MEXICAN GRILL,Food & Drink,Sale,-49.87,
06/20/2024,06/20/2024,EARTHBREEZE.COM,Personal,Sale,-12.84,
06/19/2024,06/20/2024,TROPICAL SMOOTHIE CAFE TN,Food & Drink,Sale,-8.79,
06/18/2024,06/19/2024,WAL-MART #672,Groceries,Sale,-162.66,
06/18/2024,06/19/2024,FOOD LION #1362,Groceries,Sale,-52.16,
06/17/2024,06/18/2024,KROGER #862,Groceries,Sale,-24.00,
06/17/2024,06/18/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.95,
06/15/2024,06/17/2024,CHEDDAR'S ZK 0202143,Food & Drink,Sale,-63.28,
06/14/2024,06/17/2024,LOOPE POOL AND SPA  LLC,Home,Sale,-52.67,
06/15/2024,06/16/2024,FOOD LION #1362,Groceries,Sale,-75.25,
06/15/2024,06/16/2024,JOTFORM INC,Shopping,Sale,-428.03,
06/15/2024,06/16/2024,SP RESCUE,Shopping,Sale,-61.39,
06/14/2024,06/16/2024,SHELL OIL 57546172008,Gas,Sale,-34.00,
06/13/2024,06/16/2024,LOOPE POOL AND SPA  LLC,Home,Sale,-49.39,
06/14/2024,06/16/2024,FOOD LION #1362,Groceries,Sale,-115.69,
06/15/2024,06/16/2024,Prime Video Channels,Shopping,Sale,-13.13,
06/14/2024,06/16/2024,Amazon.com*H33V924Z3,Shopping,Sale,-54.86,
06/14/2024,06/14/2024,AMAZON PRIME*9H5ML1GC3,Shopping,Sale,-6.56,
06/12/2024,06/13/2024,BP#1202000PLANTATION MAR,Gas,Sale,-10.50,
06/10/2024,06/11/2024,I3B*BLOUNT TN CLERK,Bills & Utilities,Sale,-33.74,
06/09/2024,06/11/2024,MNAA PARKING 2023,Travel,Sale,-25.00,
06/10/2024,06/11/2024,SP 10XHEALTHSYSTEM,Health & Wellness,Sale,-97.84,
06/09/2024,06/11/2024,TST* CINCO DE MAYO - HERM,Food & Drink,Sale,-43.85,
06/10/2024,06/11/2024,FOOD LION #1362,Groceries,Sale,-229.05,
06/10/2024,06/11/2024,AMZN Mktp US*LK8Y18BF3,Shopping,Sale,-19.74,
06/10/2024,06/11/2024,TST* GREEN BEANS COFFEE -,Food & Drink,Sale,-12.16,
06/09/2024,06/11/2024,BUC-EE'S #50,Groceries,Sale,-58.32,
06/09/2024,06/10/2024,4TE*CITY OF ALCOA TN,Bills & Utilities,Sale,-14.50,
06/09/2024,06/10/2024,WH Smith Heathrow T5,Shopping,Sale,-4.09,
06/09/2024,06/10/2024,RELAY SC        4167893,Shopping,Sale,-11.34,
06/09/2024,06/10/2024,RELAY SC        4167893,Shopping,Sale,-12.53,
06/09/2024,06/10/2024,BP#1202000PLANTATION MAR,Gas,Sale,-90.50,
06/08/2024,06/10/2024,THE HOME DEPOT #0724,Home,Return,1040.43,
06/09/2024,06/09/2024,AMAZON PRIME*RW1ZV8FE3,Shopping,Sale,-6.56,
06/08/2024,06/09/2024,WALGREENS #15906,Health & Wellness,Sale,-27.15,
06/08/2024,06/09/2024,SC.SOUVENIRS TO,Home,Sale,-130.85,
06/07/2024,06/09/2024,AMZN Mktp US*J11S460O3,Shopping,Sale,-127.30,
06/06/2024,06/09/2024,FIELDHOUSE SPECIAL,Food & Drink,Sale,-58.89,
06/08/2024,06/09/2024,TST* RIVERSTONE FAMILY RE,Food & Drink,Sale,-40.19,
06/07/2024,06/09/2024,PETSMART # 1726,Shopping,Sale,-20.83,
06/08/2024,06/09/2024,SOUV.DE LA TOUR,Home,Sale,-55.61,
06/07/2024,06/09/2024,BP#1202000PLANTATION MAR,Gas,Sale,-32.91,
06/07/2024,06/07/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-460.73,
06/06/2024,06/07/2024,Rocky Top Waffles,Food & Drink,Sale,-29.50,
06/06/2024,06/07/2024,FOOD LION #1467,Groceries,Sale,-60.97,
